"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.88437500000E+008, +5.25292758289E-001, -1.77583875556E+002
+2.88456250000E+008, +5.27261569064E-001, -1.77908091241E+002
+2.88475000000E+008, +5.29038204360E-001, -1.78245750195E+002
+2.88493750000E+008, +5.30910850873E-001, -1.78573584964E+002
+2.88512500000E+008, +5.32757172949E-001, -1.78897162986E+002
+2.88531250000E+008, +5.34634292561E-001, -1.79221087526E+002
+2.88550000000E+008, +5.36432692649E-001, -1.79545515483E+002
+2.88568750000E+008, +5.38250622778E-001, -1.79870649370E+002
+2.88587500000E+008, +5.40105420997E-001, +1.79808555547E+002
+2.88606250000E+008, +5.41961952151E-001, +1.79488803132E+002
+2.88625000000E+008, +5.43760703679E-001, +1.79164544981E+002
+2.88643750000E+008, +5.45517614448E-001, +1.78848912228E+002
+2.88662500000E+008, +5.47496135576E-001, +1.78528033370E+002
+2.88681250000E+008, +5.49210635576E-001, +1.78212604189E+002
+2.88700000000E+008, +5.51056546867E-001, +1.77897641088E+002
+2.88718750000E+008, +5.52832458729E-001, +1.77582690588E+002
+2.88737500000E+008, +5.54599502346E-001, +1.77264230553E+002
+2.88756250000E+008, +5.56317184888E-001, +1.76947736268E+002
+2.88775000000E+008, +5.58039957053E-001, +1.76633178366E+002
+2.88793750000E+008, +5.59868599262E-001, +1.76335764965E+002
+2.88812500000E+008, +5.61737861878E-001, +1.76022560557E+002
+2.88831250000E+008, +5.63319227754E-001, +1.75706256656E+002
+2.88850000000E+008, +5.65134882679E-001, +1.75400794828E+002
+2.88868750000E+008, +5.66836309642E-001, +1.75082958547E+002
+2.88887500000E+008, +5.68462954105E-001, +1.74789295286E+002
+2.88906250000E+008, +5.70297410837E-001, +1.74477586412E+002
+2.88925000000E+008, +5.71968016567E-001, +1.74172026505E+002
+2.88943750000E+008, +5.73700377182E-001, +1.73864814362E+002
+2.88962500000E+008, +5.75324727178E-001, +1.73566476346E+002
+2.88981250000E+008, +5.76895661009E-001, +1.73266353044E+002
+2.89000000000E+008, +5.78606396591E-001, +1.72950167012E+002
+2.89018750000E+008, +5.80198893175E-001, +1.72654816609E+002
+2.89037500000E+008, +5.81912062019E-001, +1.72353613123E+002
+2.89056250000E+008, +5.83531597663E-001, +1.72049265340E+002
+2.89075000000E+008, +5.85000126289E-001, +1.71760841101E+002
+2.89093750000E+008, +5.86676616123E-001, +1.71454081649E+002
+2.89112500000E+008, +5.88234533361E-001, +1.71161262129E+002
+2.89131250000E+008, +5.89913669761E-001, +1.70869341366E+002
+2.89150000000E+008, +5.91342800092E-001, +1.70567048988E+002
+2.89168750000E+008, +5.92965954777E-001, +1.70279960863E+002
+2.89187500000E+008, +5.94493212706E-001, +1.69967269523E+002
+2.89206250000E+008, +5.96073525079E-001, +1.69680286793E+002
+2.89225000000E+008, +5.97565712436E-001, +1.69388690514E+002
+2.89243750000E+008, +5.99013961987E-001, +1.69098922080E+002
+2.89262500000E+008, +6.00541770639E-001, +1.68809108944E+002
+2.89281250000E+008, +6.01894169619E-001, +1.68517291066E+002
+2.89300000000E+008, +6.03366613604E-001, +1.68229394142E+002
+2.89318750000E+008, +6.04891981928E-001, +1.67940096091E+002
+2.89337500000E+008, +6.06212273344E-001, +1.67649384570E+002
+2.89356250000E+008, +6.07693255577E-001, +1.67363551411E+002
+2.89375000000E+008, +6.09021325478E-001, +1.67072580993E+002
+2.89393750000E+008, +6.10359638972E-001, +1.66791638536E+002
+2.89412500000E+008, +6.11798988956E-001, +1.66493737152E+002
+2.89431250000E+008, +6.13083899658E-001, +1.66206559348E+002
+2.89450000000E+008, +6.14528942589E-001, +1.65931269662E+002
+2.89468750000E+008, +6.15819815194E-001, +1.65644057245E+002
+2.89487500000E+008, +6.17038238447E-001, +1.65353600622E+002
+2.89506250000E+008, +6.18330554654E-001, +1.65063951904E+002
+2.89525000000E+008, +6.19560268579E-001, +1.64788919018E+002
+2.89543750000E+008, +6.20839213536E-001, +1.64507069931E+002
